InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
541481,21777,,8,1/17/2011 8:08,7.95,,United Kingdom
541481,22310,IVORY KNITTED MUG COSY,3,1/17/2011 8:08,1.65,,United Kingdom
541481,84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,8,1/17/2011 8:08,4.25,,United Kingdom
541481,22423,REGENCY CAKESTAND 3 TIER,4,1/17/2011 8:08,12.75,,United Kingdom
541481,71053,,8,1/17/2011 8:08,3.39,,United Kingdom
541481,84029E,RED WOOLLY HOTTIE WHITE HEART.,48,1/17/2011 8:08,3.39,,United Kingdom
541481,22752,,3,1/17/2011 8:08,7.65,,United Kingdom
541481,22633,HAND WARMER UNION JACK,8,1/17/2011 8:08,1.85,,United Kingdom
541481,22613,PACK OF 20 SPACEBOY NAPKINS,24,1/17/2011 8:08,0.85,,United Kingdom
541481,48187,DOORMAT NEW ENGLAND,24,1/17/2011 8:08,7.95,,United Kingdom
541481,22310,IVORY KNITTED MUG COSY,1,1/17/2011 8:08,1.65,,United Kingdom
541481,84879,ASSORTED COLOUR BIRD ORNAMENT,24,1/17/2011 8:08,1.69,,United Kingdom
541481,22748,POPPY'S PLAYHOUSE KITCHEN,24,1/17/2011 8:08,2.1,,United Kingdom
541481,22913,RED COAT RACK PARIS FASHION,4,1/17/2011 8:08,4.95,,United Kingdom
541481,22623,BOX OF VINTAGE JIGSAW BLOCKS,24,1/17/2011 8:08,4.95,,United Kingdom
541481,22632,HAND WARMER RED POLKA DOT,12,1/17/2011 8:08,1.85,,United Kingdom
541525,22197,SMALL POPCORN HOLDER,6,1/17/2011 15:03,0.85,,United Kingdom
541525,22913,RED COAT RACK PARIS FASHION,2,1/17/2011 15:03,4.95,,United Kingdom
541525,22720,SET OF 3 CAKE TINS PANTRY DESIGN,3,1/17/2011 15:03,4.95,,United Kingdom
541525,71053,WHITE METAL LANTERN,24,1/17/2011 15:03,3.39,,United Kingdom
541525,85123A,WHITE HANGING HEART T-LIGHT HOLDER,3,1/17/2011 15:03,2.55,,United Kingdom
541525,23084,RABBIT NIGHT LIGHT,6,1/17/2011 15:03,2.08,,United Kingdom
541525,48187,DOORMAT NEW ENGLAND,3,1/17/2011 15:03,7.95,,United Kingdom
541525,21777,RECIPE BOX WITH METAL HEART,3,1/17/2011 15:03,7.95,,United Kingdom
541525,21212,PACK OF 72 RETROSPOT CAKE CASES,1,1/17/2011 15:03,0.55,,United Kingdom
541525,22310,IVORY KNITTED MUG COSY,2,1/17/2011 15:03,1.65,,United Kingdom
541525,21754,,1,1/17/2011 15:03,5.95,,United Kingdom
541525,84406B,CREAM CUPID HEARTS COAT HANGER,8,1/17/2011 15:03,2.75,,United Kingdom
541525,22632,HAND WARMER RED POLKA DOT,8,1/17/2011 15:03,1.85,,United Kingdom
541525,71053,WHITE METAL LANTERN,8,1/17/2011 15:03,3.39,,United Kingdom
541525,22423,REGENCY CAKESTAND 3 TIER,1,1/17/2011 15:03,12.75,,United Kingdom
541602,22748,POPPY'S PLAYHOUSE KITCHEN,6,1/18/2011 9:25,2.1,16765.0,United Kingdom
541602,47566,PARTY BUNTING,12,1/18/2011 9:25,4.95,16765.0,United Kingdom
541652,20725,LUNCH BAG RED RETROSPOT,1,1/18/2011 13:07,1.65,17541.0,United Kingdom
541652,22623,BOX OF VINTAGE JIGSAW BLOCKS,2,1/18/2011 13:07,4.95,17541.0,United Kingdom
541652,21754,HOME BUILDING BLOCK WORD,2,1/18/2011 13:07,5.95,17541.0,United Kingdom
541652,22913,RED COAT RACK PARIS FASHION,48,1/18/2011 13:07,4.95,17541.0,United Kingdom
541652,84879,ASSORTED COLOUR BIRD ORNAMENT,24,1/18/2011 13:07,1.69,17541.0,United Kingdom
541652,84029E,RED WOOLLY HOTTIE WHITE HEART.,48,1/18/2011 13:07,3.39,17541.0,United Kingdom
541652,84029E,RED WOOLLY HOTTIE WHITE HEART.,4,1/18/2011 13:07,3.39,17541.0,United Kingdom
541694,85099B,JUMBO BAG RED RETROSPOT,12,1/19/2011 11:07,1.95,14184.0,United Kingdom
541694,23084,RABBIT NIGHT LIGHT,3,1/19/2011 11:07,2.08,14184.0,United Kingdom
541694,22633,HAND WARMER UNION JACK,4,1/19/2011 11:07,1.85,14184.0,United Kingdom
541694,84879,ASSORTED COLOUR BIRD ORNAMENT,3,1/19/2011 11:07,1.69,14184.0,United Kingdom
541694,22197,SMALL POPCORN HOLDER,2,1/19/2011 11:07,0.85,14184.0,United Kingdom
541694,21730,GLASS STAR FROSTED T-LIGHT HOLDER,48,1/19/2011 11:07,4.25,14184.0,United Kingdom
541694,48187,DOORMAT NEW ENGLAND,4,1/19/2011 11:07,7.95,14184.0,United Kingdom
541694,22913,RED COAT RACK PARIS FASHION,8,1/19/2011 11:07,4.95,14184.0,United Kingdom
541694,21212,PACK OF 72 RETROSPOT CAKE CASES,4,1/19/2011 11:07,0.55,14184.0,United Kingdom
541694,22960,JAM MAKING SET WITH JARS,8,1/19/2011 11:07,4.25,14184.0,United Kingdom
541694,84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,24,1/19/2011 11:07,4.25,14184.0,United Kingdom
541694,22613,PACK OF 20 SPACEBOY NAPKINS,1,1/19/2011 11:07,0.85,14184.0,United Kingdom
541694,48187,DOORMAT NEW ENGLAND,6,1/19/2011 11:07,7.95,14184.0,United Kingdom
541694,85123A,WHITE HANGING HEART T-LIGHT HOLDER,3,1/19/2011 11:07,2.55,14184.0,United Kingdom
541694,48187,DOORMAT NEW ENGLAND,48,1/19/2011 11:07,7.95,14184.0,United Kingdom
541694,22423,REGENCY CAKESTAND 3 TIER,1,1/19/2011 11:07,12.75,14184.0,United Kingdom
541694,21754,HOME BUILDING BLOCK WORD,48,1/19/2011 11:07,5.95,14184.0,United Kingdom
541694,84406B,CREAM CUPID HEARTS COAT HANGER,24,1/19/2011 11:07,2.75,14184.0,United Kingdom
541694,22720,SET OF 3 CAKE TINS PANTRY DESIGN,48,1/19/2011 11:07,4.95,14184.0,United Kingdom
541694,22623,BOX OF VINTAGE JIGSAW BLOCKS,48,1/19/2011 11:07,4.95,14184.0,United Kingdom
541694,21730,GLASS STAR FROSTED T-LIGHT HOLDER,3,1/19/2011 11:07,4.25,14184.0,United Kingdom
541694,23084,RABBIT NIGHT LIGHT,24,1/19/2011 11:07,2.08,14184.0,United Kingdom
541694,22623,BOX OF VINTAGE JIGSAW BLOCKS,6,1/19/2011 11:07,4.95,14184.0,United Kingdom
541763,22752,SET 7 BABUSHKA NESTING BOXES,12,1/19/2011 17:15,7.65,15540.0,United Kingdom
541763,22752,SET 7 BABUSHKA NESTING BOXES,6,1/19/2011 17:15,7.65,15540.0,United Kingdom
541763,84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,8,1/19/2011 17:15,4.25,15540.0,United Kingdom
541763,22197,SMALL POPCORN HOLDER,48,1/19/2011 17:15,0.85,15540.0,United Kingdom
541763,71053,WHITE METAL LANTERN,3,1/19/2011 17:15,3.39,15540.0,United Kingdom
541763,23084,RABBIT NIGHT LIGHT,12,1/19/2011 17:15,2.08,15540.0,United Kingdom
541763,22423,REGENCY CAKESTAND 3 TIER,48,1/19/2011 17:15,12.75,15540.0,United Kingdom
541763,85123A,WHITE HANGING HEART T-LIGHT HOLDER,8,1/19/2011 17:15,2.55,15540.0,United Kingdom
C541819,47566,PARTY BUNTING,-3,1/20/2011 11:52,4.95,17364.0,United Kingdom
541883,22632,HAND WARMER RED POLKA DOT,2,1/20/2011 16:47,1.85,14361.0,United Kingdom
541883,47566,PARTY BUNTING,6,1/20/2011 16:47,4.95,14361.0,United Kingdom
541883,23084,RABBIT NIGHT LIGHT,48,1/20/2011 16:47,2.08,14361.0,United Kingdom
541883,22613,PACK OF 20 SPACEBOY NAPKINS,24,1/20/2011 16:47,0.85,14361.0,United Kingdom
541883,22632,HAND WARMER RED POLKA DOT,24,1/20/2011 16:47,1.85,14361.0,United Kingdom
541883,22613,PACK OF 20 SPACEBOY NAPKINS,6,1/20/2011 16:47,0.85,14361.0,United Kingdom
541883,84029E,RED WOOLLY HOTTIE WHITE HEART.,2,1/20/2011 16:47,3.39,14361.0,United Kingdom
541883,21777,RECIPE BOX WITH METAL HEART,2,1/20/2011 16:47,7.95,14361.0,United Kingdom
541948,21730,GLASS STAR FROSTED T-LIGHT HOLDER,12,1/21/2011 8:19,4.25,16895.0,United Kingdom
541948,84029E,RED WOOLLY HOTTIE WHITE HEART.,4,1/21/2011 8:19,3.39,16895.0,United Kingdom
541948,48187,DOORMAT NEW ENGLAND,6,1/21/2011 8:19,7.95,16895.0,United Kingdom
541948,22423,REGENCY CAKESTAND 3 TIER,24,1/21/2011 8:19,12.75,16895.0,United Kingdom
541948,23084,RABBIT NIGHT LIGHT,1,1/21/2011 8:19,2.08,16895.0,United Kingdom
541948,22613,PACK OF 20 SPACEBOY NAPKINS,6,1/21/2011 8:19,0.85,16895.0,United Kingdom
541948,71053,WHITE METAL LANTERN,48,1/21/2011 8:19,3.39,16895.0,United Kingdom
541948,22720,SET OF 3 CAKE TINS PANTRY DESIGN,4,1/21/2011 8:19,4.95,16895.0,United Kingdom
541948,85123A,WHITE HANGING HEART T-LIGHT HOLDER,12,1/21/2011 8:19,2.55,16895.0,United Kingdom
541948,85099B,JUMBO BAG RED RETROSPOT,24,1/21/2011 8:19,1.95,16895.0,United Kingdom
541948,22720,SET OF 3 CAKE TINS PANTRY DESIGN,8,1/21/2011 8:19,4.95,16895.0,United Kingdom
541948,48187,DOORMAT NEW ENGLAND,24,1/21/2011 8:19,7.95,16895.0,United Kingdom
542006,22960,JAM MAKING SET WITH JARS,2,1/21/2011 11:13,4.25,,United Kingdom
542006,22960,JAM MAKING SET WITH JARS,12,1/21/2011 11:13,4.25,,United Kingdom
542006,21212,PACK OF 72 RETROSPOT CAKE CASES,4,1/21/2011 11:13,0.55,,United Kingdom
542006,48187,DOORMAT NEW ENGLAND,6,1/21/2011 11:13,7.95,,United Kingdom
542062,84406B,CREAM CUPID HEARTS COAT HANGER,3,1/21/2011 14:28,2.75,14939.0,EIRE
542062,21730,GLASS STAR FROSTED T-LIGHT HOLDER,48,1/21/2011 14:28,4.25,14939.0,EIRE
542109,21755,LOVE BUILDING BLOCK WORD,24,1/21/2011 19:16,5.95,,Portugal
542109,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,1,1/21/2011 19:16,3.39,,Portugal
542109,22613,PACK OF 20 SPACEBOY NAPKINS,3,1/21/2011 19:16,0.85,,Portugal
542109,22752,SET 7 BABUSHKA NESTING BOXES,3,1/21/2011 19:16,7.65,,Portugal
542109,22960,JAM MAKING SET WITH JARS,48,1/21/2011 19:16,4.25,,Portugal
542109,22960,JAM MAKING SET WITH JARS,3,1/21/2011 19:16,4.25,,Portugal
542109,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,2,1/21/2011 19:16,3.39,,Portugal
542109,22197,SMALL POPCORN HOLDER,48,1/21/2011 19:16,0.85,,Portugal
542109,22748,POPPY'S PLAYHOUSE KITCHEN,1,1/21/2011 19:16,2.1,,Portugal
542109,48187,DOORMAT NEW ENGLAND,4,1/21/2011 19:16,7.95,,Portugal
542109,22752,SET 7 BABUSHKA NESTING BOXES,24,1/21/2011 19:16,7.65,,Portugal
542109,22913,RED COAT RACK PARIS FASHION,8,1/21/2011 19:16,4.95,,Portugal
542151,47566,PARTY BUNTING,48,1/22/2011 10:49,4.95,15371.0,United Kingdom
542151,22752,SET 7 BABUSHKA NESTING BOXES,1,1/22/2011 10:49,7.65,15371.0,United Kingdom
542151,85123A,WHITE HANGING HEART T-LIGHT HOLDER,2,1/22/2011 10:49,2.55,15371.0,United Kingdom
542151,22197,SMALL POPCORN HOLDER,24,1/22/2011 10:49,0.85,15371.0,United Kingdom
542151,84879,ASSORTED COLOUR BIRD ORNAMENT,48,1/22/2011 10:49,1.69,15371.0,United Kingdom
542151,22197,SMALL POPCORN HOLDER,48,1/22/2011 10:49,0.85,15371.0,United Kingdom
542151,22960,JAM MAKING SET WITH JARS,2,1/22/2011 10:49,4.25,15371.0,United Kingdom
542151,84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,48,1/22/2011 10:49,4.25,15371.0,United Kingdom
542151,22197,SMALL POPCORN HOLDER,4,1/22/2011 10:49,0.85,15371.0,United Kingdom
542151,22623,BOX OF VINTAGE JIGSAW BLOCKS,3,1/22/2011 10:49,4.95,15371.0,United Kingdom
542151,22613,PACK OF 20 SPACEBOY NAPKINS,6,1/22/2011 10:49,0.85,15371.0,United Kingdom
542151,22745,POPPY'S PLAYHOUSE BEDROOM,24,1/22/2011 10:49,2.1,15371.0,United Kingdom
542151,22197,SMALL POPCORN HOLDER,12,1/22/2011 10:49,0.85,15371.0,United Kingdom
542151,22752,SET 7 BABUSHKA NESTING BOXES,8,1/22/2011 10:49,7.65,15371.0,United Kingdom
542151,22633,HAND WARMER UNION JACK,2,1/22/2011 10:49,1.85,15371.0,United Kingdom
542151,85123A,WHITE HANGING HEART T-LIGHT HOLDER,2,1/22/2011 10:49,2.55,15371.0,United Kingdom
542151,20725,LUNCH BAG RED RETROSPOT,8,1/22/2011 10:49,1.65,15371.0,United Kingdom
542151,22720,SET OF 3 CAKE TINS PANTRY DESIGN,3,1/22/2011 10:49,4.95,15371.0,United Kingdom
542151,21754,HOME BUILDING BLOCK WORD,12,1/22/2011 10:49,5.95,15371.0,United Kingdom
542151,84879,ASSORTED COLOUR BIRD ORNAMENT,24,1/22/2011 10:49,1.69,15371.0,United Kingdom
542151,22632,HAND WARMER RED POLKA DOT,8,1/22/2011 10:49,1.85,15371.0,United Kingdom
542151,85099B,JUMBO BAG RED RETROSPOT,3,1/22/2011 10:49,1.95,15371.0,United Kingdom
542230,22623,BOX OF VINTAGE JIGSAW BLOCKS,12,1/23/2011 11:45,4.95,14230.0,United Kingdom
542230,22613,PACK OF 20 SPACEBOY NAPKINS,3,1/23/2011 11:45,0.85,14230.0,United Kingdom
542230,21754,HOME BUILDING BLOCK WORD,48,1/23/2011 11:45,5.95,14230.0,United Kingdom
542230,85099B,JUMBO BAG RED RETROSPOT,24,1/23/2011 11:45,1.95,14230.0,United Kingdom
542230,21777,RECIPE BOX WITH METAL HEART,3,1/23/2011 11:45,7.95,14230.0,United Kingdom
542230,84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,48,1/23/2011 11:45,4.25,14230.0,United Kingdom
542230,84029E,RED WOOLLY HOTTIE WHITE HEART.,24,1/23/2011 11:45,3.39,14230.0,United Kingdom
542230,22960,JAM MAKING SET WITH JARS,24,1/23/2011 11:45,4.25,14230.0,United Kingdom
542230,22632,HAND WARMER RED POLKA DOT,6,1/23/2011 11:45,1.85,14230.0,United Kingdom
542230,84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,4,1/23/2011 11:45,4.25,14230.0,United Kingdom
542230,22745,POPPY'S PLAYHOUSE BEDROOM,48,1/23/2011 11:45,2.1,14230.0,United Kingdom
542230,22748,POPPY'S PLAYHOUSE KITCHEN,4,1/23/2011 11:45,2.1,14230.0,United Kingdom
542230,85099B,JUMBO BAG RED RETROSPOT,2,1/23/2011 11:45,1.95,14230.0,United Kingdom
542230,22633,HAND WARMER UNION JACK,2,1/23/2011 11:45,1.85,14230.0,United Kingdom
542230,23084,RABBIT NIGHT LIGHT,6,1/23/2011 11:45,2.08,14230.0,United Kingdom
542230,23084,RABBIT NIGHT LIGHT,6,1/23/2011 11:45,2.08,14230.0,United Kingdom
542230,22745,POPPY'S PLAYHOUSE BEDROOM,4,1/23/2011 11:45,2.1,14230.0,United Kingdom
542230,22623,BOX OF VINTAGE JIGSAW BLOCKS,48,1/23/2011 11:45,4.95,14230.0,United Kingdom
542230,22197,SMALL POPCORN HOLDER,12,1/23/2011 11:45,0.85,14230.0,United Kingdom
542230,20725,LUNCH BAG RED RETROSPOT,4,1/23/2011 11:45,1.65,14230.0,United Kingdom
542307,22633,HAND WARMER UNION JACK,2,1/24/2011 10:07,1.85,,United Kingdom
542307,85099B,JUMBO BAG RED RETROSPOT,48,1/24/2011 10:07,1.95,,United Kingdom
542307,21730,GLASS STAR FROSTED T-LIGHT HOLDER,4,1/24/2011 10:07,4.25,,United Kingdom
542307,22423,REGENCY CAKESTAND 3 TIER,48,1/24/2011 10:07,12.75,,United Kingdom
542307,22633,HAND WARMER UNION JACK,12,1/24/2011 10:07,1.85,,United Kingdom
542384,22613,PACK OF 20 SPACEBOY NAPKINS,6,1/25/2011 9:57,0.85,18236.0,United Kingdom
542384,22613,PACK OF 20 SPACEBOY NAPKINS,6,1/25/2011 9:57,0.85,18236.0,United Kingdom
542384,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,6,1/25/2011 9:57,3.39,18236.0,United Kingdom
542384,21212,PACK OF 72 RETROSPOT CAKE CASES,4,1/25/2011 9:57,0.55,18236.0,United Kingdom
542384,22752,SET 7 BABUSHKA NESTING BOXES,24,1/25/2011 9:57,7.65,18236.0,United Kingdom
542384,20725,LUNCH BAG RED RETROSPOT,2,1/25/2011 9:57,1.65,18236.0,United Kingdom
542384,84406B,CREAM CUPID HEARTS COAT HANGER,24,1/25/2011 9:57,2.75,18236.0,United Kingdom
542384,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,4,1/25/2011 9:57,3.39,18236.0,United Kingdom
542384,48187,DOORMAT NEW ENGLAND,1,1/25/2011 9:57,7.95,18236.0,United Kingdom
542438,20725,LUNCH BAG RED RETROSPOT,2,1/25/2011 18:40,1.65,12449.0,United Kingdom
542438,22745,POPPY'S PLAYHOUSE BEDROOM,8,1/25/2011 18:40,2.1,12449.0,United Kingdom
542438,22752,SET 7 BABUSHKA NESTING BOXES,1,1/25/2011 18:40,7.65,12449.0,United Kingdom
542438,84029E,RED WOOLLY HOTTIE WHITE HEART.,48,1/25/2011 18:40,3.39,12449.0,United Kingdom
542438,47566,PARTY BUNTING,2,1/25/2011 18:40,4.95,12449.0,United Kingdom
542438,71053,WHITE METAL LANTERN,8,1/25/2011 18:40,3.39,12449.0,United Kingdom
542438,21777,RECIPE BOX WITH METAL HEART,48,1/25/2011 18:40,7.95,12449.0,United Kingdom
542438,22623,BOX OF VINTAGE JIGSAW BLOCKS,8,1/25/2011 18:40,4.95,12449.0,United Kingdom
542438,22310,IVORY KNITTED MUG COSY,4,1/25/2011 18:40,1.65,12449.0,United Kingdom
542438,21754,HOME BUILDING BLOCK WORD,12,1/25/2011 18:40,5.95,12449.0,United Kingdom
542438,85099B,JUMBO BAG RED RETROSPOT,6,1/25/2011 18:40,1.95,12449.0,United Kingdom
542438,22613,PACK OF 20 SPACEBOY NAPKINS,4,1/25/2011 18:40,0.85,12449.0,United Kingdom
542438,84879,ASSORTED COLOUR BIRD ORNAMENT,2,1/25/2011 18:40,1.69,12449.0,United Kingdom
542438,71053,WHITE METAL LANTERN,3,1/25/2011 18:40,3.39,12449.0,United Kingdom
542438,22613,PACK OF 20 SPACEBOY NAPKINS,1,1/25/2011 18:40,0.85,12449.0,United Kingdom
542438,47566,PARTY BUNTING,48,1/25/2011 18:40,4.95,12449.0,United Kingdom
542438,21755,LOVE BUILDING BLOCK WORD,24,1/25/2011 18:40,5.95,12449.0,United Kingdom
542438,84879,ASSORTED COLOUR BIRD ORNAMENT,2,1/25/2011 18:40,1.69,12449.0,United Kingdom
542438,22752,SET 7 BABUSHKA NESTING BOXES,1,1/25/2011 18:40,7.65,12449.0,United Kingdom
542438,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,1/25/2011 18:40,2.55,12449.0,United Kingdom
542438,85099B,JUMBO BAG RED RETROSPOT,1,1/25/2011 18:40,1.95,12449.0,United Kingdom
542500,22633,HAND WARMER UNION JACK,1,1/26/2011 8:10,1.85,18267.0,United Kingdom
542500,22960,JAM MAKING SET WITH JARS,48,1/26/2011 8:10,4.25,18267.0,United Kingdom
542500,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,3,1/26/2011 8:10,3.39,18267.0,United Kingdom
542500,21730,GLASS STAR FROSTED T-LIGHT HOLDER,4,1/26/2011 8:10,4.25,18267.0,United Kingdom
542500,48187,DOORMAT NEW ENGLAND,1,1/26/2011 8:10,7.95,18267.0,United Kingdom
542500,22752,SET 7 BABUSHKA NESTING BOXES,4,1/26/2011 8:10,7.65,18267.0,United Kingdom
542500,85099B,JUMBO BAG RED RETROSPOT,2,1/26/2011 8:10,1.95,18267.0,United Kingdom
542500,22197,SMALL POPCORN HOLDER,12,1/26/2011 8:10,0.85,18267.0,United Kingdom
542500,84406B,CREAM CUPID HEARTS COAT HANGER,4,1/26/2011 8:10,2.75,18267.0,United Kingdom
542500,22310,IVORY KNITTED MUG COSY,8,1/26/2011 8:10,1.65,18267.0,United Kingdom
542500,84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,24,1/26/2011 8:10,4.25,18267.0,United Kingdom
542500,85123A,WHITE HANGING HEART T-LIGHT HOLDER,4,1/26/2011 8:10,2.55,18267.0,United Kingdom
542500,22623,BOX OF VINTAGE JIGSAW BLOCKS,8,1/26/2011 8:10,4.95,18267.0,United Kingdom
542500,84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,1,1/26/2011 8:10,4.25,18267.0,United Kingdom
542500,22720,SET OF 3 CAKE TINS PANTRY DESIGN,1,1/26/2011 8:10,4.95,18267.0,United Kingdom
542500,22623,BOX OF VINTAGE JIGSAW BLOCKS,12,1/26/2011 8:10,4.95,18267.0,United Kingdom
542500,21754,HOME BUILDING BLOCK WORD,24,1/26/2011 8:10,5.95,18267.0,United Kingdom
542500,21730,GLASS STAR FROSTED T-LIGHT HOLDER,3,1/26/2011 8:10,4.25,18267.0,United Kingdom
542578,22197,SMALL POPCORN HOLDER,24,1/26/2011 11:06,0.85,15057.0,United Kingdom
542578,22310,IVORY KNITTED MUG COSY,48,1/26/2011 11:06,1.65,15057.0,United Kingdom
542578,22748,POPPY'S PLAYHOUSE KITCHEN,1,1/26/2011 11:06,2.1,15057.0,United Kingdom
542578,21755,LOVE BUILDING BLOCK WORD,24,1/26/2011 11:06,5.95,15057.0,United Kingdom
542578,22752,SET 7 BABUSHKA NESTING BOXES,1,1/26/2011 11:06,7.65,15057.0,United Kingdom
542637,84029E,RED WOOLLY HOTTIE WHITE HEART.,1,1/26/2011 17:04,3.39,18057.0,United Kingdom
542637,22748,POPPY'S PLAYHOUSE KITCHEN,3,1/26/2011 17:04,2.1,18057.0,United Kingdom
542637,22913,RED COAT RACK PARIS FASHION,6,1/26/2011 17:04,4.95,18057.0,United Kingdom
542637,21730,GLASS STAR FROSTED T-LIGHT HOLDER,8,1/26/2011 17:04,4.25,18057.0,United Kingdom
542637,47566,PARTY BUNTING,6,1/26/2011 17:04,4.95,18057.0,United Kingdom
542637,21212,PACK OF 72 RETROSPOT CAKE CASES,12,1/26/2011 17:04,0.55,18057.0,United Kingdom
542637,21754,HOME BUILDING BLOCK WORD,4,1/26/2011 17:04,5.95,18057.0,United Kingdom
542637,21730,GLASS STAR FROSTED T-LIGHT HOLDER,24,1/26/2011 17:04,4.25,18057.0,United Kingdom
542637,84879,ASSORTED COLOUR BIRD ORNAMENT,24,1/26/2011 17:04,1.69,18057.0,United Kingdom
542637,22748,POPPY'S PLAYHOUSE KITCHEN,6,1/26/2011 17:04,2.1,18057.0,United Kingdom
542713,47566,PARTY BUNTING,12,1/27/2011 9:16,4.95,18199.0,United Kingdom
542713,85099B,JUMBO BAG RED RETROSPOT,24,1/27/2011 9:16,1.95,18199.0,United Kingdom
542713,22752,SET 7 BABUSHKA NESTING BOXES,48,1/27/2011 9:16,7.65,18199.0,United Kingdom
542713,85099B,JUMBO BAG RED RETROSPOT,3,1/27/2011 9:16,1.95,18199.0,United Kingdom
542713,84029E,RED WOOLLY HOTTIE WHITE HEART.,12,1/27/2011 9:16,3.39,18199.0,United Kingdom
542713,21777,RECIPE BOX WITH METAL HEART,3,1/27/2011 9:16,7.95,18199.0,United Kingdom
542713,22633,HAND WARMER UNION JACK,2,1/27/2011 9:16,1.85,18199.0,United Kingdom
542713,85123A,WHITE HANGING HEART T-LIGHT HOLDER,24,1/27/2011 9:16,2.55,18199.0,United Kingdom
542713,21212,PACK OF 72 RETROSPOT CAKE CASES,3,1/27/2011 9:16,0.55,18199.0,United Kingdom
542713,21755,LOVE BUILDING BLOCK WORD,24,1/27/2011 9:16,5.95,18199.0,United Kingdom
542784,22632,HAND WARMER RED POLKA DOT,24,1/27/2011 17:51,1.85,13435.0,United Kingdom
542784,22310,IVORY KNITTED MUG COSY,2,1/27/2011 17:51,1.65,13435.0,United Kingdom
542784,85123A,WHITE HANGING HEART T-LIGHT HOLDER,3,1/27/2011 17:51,2.55,13435.0,United Kingdom
542784,21777,RECIPE BOX WITH METAL HEART,48,1/27/2011 17:51,7.95,13435.0,United Kingdom
542784,47566,PARTY BUNTING,4,1/27/2011 17:51,4.95,13435.0,United Kingdom
542844,21777,RECIPE BOX WITH METAL HEART,48,1/28/2011 8:19,7.95,14354.0,United Kingdom
542844,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,4,1/28/2011 8:19,3.39,14354.0,United Kingdom
542844,22745,POPPY'S PLAYHOUSE BEDROOM,4,1/28/2011 8:19,2.1,14354.0,United Kingdom
542844,22423,REGENCY CAKESTAND 3 TIER,48,1/28/2011 8:19,12.75,14354.0,United Kingdom
542844,22913,RED COAT RACK PARIS FASHION,12,1/28/2011 8:19,4.95,14354.0,United Kingdom
542844,22423,REGENCY CAKESTAND 3 TIER,12,1/28/2011 8:19,12.75,14354.0,United Kingdom
542844,84879,ASSORTED COLOUR BIRD ORNAMENT,2,1/28/2011 8:19,1.69,14354.0,United Kingdom
542844,22423,REGENCY CAKESTAND 3 TIER,48,1/28/2011 8:19,12.75,14354.0,United Kingdom
542844,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,24,1/28/2011 8:19,3.39,14354.0,United Kingdom
542844,48187,DOORMAT NEW ENGLAND,3,1/28/2011 8:19,7.95,14354.0,United Kingdom
542899,22197,SMALL POPCORN HOLDER,2,1/28/2011 13:58,0.85,16737.0,United Kingdom
542899,21755,LOVE BUILDING BLOCK WORD,12,1/28/2011 13:58,5.95,16737.0,United Kingdom
542899,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,1,1/28/2011 13:58,3.39,16737.0,United Kingdom
542899,22633,HAND WARMER UNION JACK,4,1/28/2011 13:58,1.85,16737.0,United Kingdom
542899,47566,PARTY BUNTING,4,1/28/2011 13:58,4.95,16737.0,United Kingdom
542899,22633,HAND WARMER UNION JACK,4,1/28/2011 13:58,1.85,16737.0,United Kingdom
542899,21777,RECIPE BOX WITH METAL HEART,2,1/28/2011 13:58,7.95,16737.0,United Kingdom
542899,22310,IVORY KNITTED MUG COSY,4,1/28/2011 13:58,1.65,16737.0,United Kingdom
542899,23084,RABBIT NIGHT LIGHT,4,1/28/2011 13:58,2.08,16737.0,United Kingdom
542899,22748,POPPY'S PLAYHOUSE KITCHEN,48,1/28/2011 13:58,2.1,16737.0,United Kingdom
542899,21730,GLASS STAR FROSTED T-LIGHT HOLDER,4,1/28/2011 13:58,4.25,16737.0,United Kingdom
542899,22913,RED COAT RACK PARIS FASHION,6,1/28/2011 13:58,4.95,16737.0,United Kingdom
542948,21730,GLASS STAR FROSTED T-LIGHT HOLDER,2,1/29/2011 9:07,4.25,16532.0,United Kingdom
542948,22752,SET 7 BABUSHKA NESTING BOXES,6,1/29/2011 9:07,7.65,16532.0,United Kingdom
542948,84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,6,1/29/2011 9:07,4.25,16532.0,United Kingdom
542948,21755,LOVE BUILDING BLOCK WORD,48,1/29/2011 9:07,5.95,16532.0,United Kingdom
